nom_de_l_etablissment,ips_voie_pro,type_de_lycee,secteur,uai,ips_ensemble_gt_pro,code_du_departement,rentree_scolaire,code_insee_de_la_commune,academie,departement,nom_de_la_commune,ips_voie_gt,ecart_type_de_l_ips_voie_pro,ecart_type_de_l_ips_voie_gt
LYCEE GENERAL PRIVE NOTRE DAME,,LEGT,privé sous contrat,0593141U,124.2,59,2019-2020,59606,LILLE,NORD,VALENCIENNES,124.2,,35.5
LYCEE PROFESSIONNEL DES PLAINES DU NORD,71.6,LP,public,0594652L,71.6,59,2019-2020,59271,LILLE,NORD,GRANDE SYNTHE,,26.3,
LYCEE PROFESSIONNEL JEAN BAPTISTE COROT LYCEE DES METIERS DE L HABITAT ET DU COMMERCE,77.6,LP,public,0600003C,77.6,60,2019-2020,60057,AMIENS,OISE,BEAUVAIS,,26.4,
LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE MIREILLE GRENET,,LEGT,public,0600015R,108.1,60,2019-2020,60159,AMIENS,OISE,COMPIEGNE,108.1,,36.4
LYCEE PROFESSIONNEL MIREILLE GRENET INDUSTRIEL LYCEE DES METIERS DE L INNOVATION ET DES SERVICES,89.3,LP,public,0600016S,89.3,60,2019-2020,60159,AMIENS,OISE,COMPIEGNE,,28.4,
LYCEE PROFESSIONNEL MIXTE M GRENET,81.8,LP,public,0600017T,81.8,60,2019-2020,60159,AMIENS,OISE,COMPIEGNE,,27.1,
LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE MARIE CURIE,,LEGT,public,0600020W,109.1,60,2019-2020,60463,AMIENS,OISE,NOGENT SUR OISE,109.1,,36.8
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT VINCENT,,LEGT,privé sous contrat,0601149Y,135.3,60,2019-2020,60612,AMIENS,OISE,SENLIS,135.3,,29.2
LYCEE PROFESSIONNEL PRIVE ST VINCENT DE PAUL,84.4,LP,privé sous contrat,0601162M,84.4,60,2019-2020,60057,AMIENS,OISE,BEAUVAIS,,30.6,
LYCEE PROFESSIONNEL PRIVE CROISET,111.2,LP,privé sous contrat,0601164P,111.2,60,2019-2020,60141,AMIENS,OISE,CHANTILLY,,35.0,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT ESPRIT,,LEGT,privé sous contrat,0601699W,123.3,60,2019-2020,60057,AMIENS,OISE,BEAUVAIS,123.3,,32.2
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA MAISON FRANCAISE,,LEGT,privé sous contrat,0601703A,122.7,60,2019-2020,60188,AMIENS,OISE,CUISE LA MOTTE,122.7,,39.4
LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS TRUFFAUT LYCEE DES METIERS DU TERTIAIRE DE LA SANTE ET DU SOCIAL,,LEGT,public,0601823F,101.4,60,2019-2020,60057,AMIENS,OISE,BEAUVAIS,101.4,,33.3
LYCEE POLYVALENT CHARLES DE GAULLE LYCEE DES METIERS DE LA RESTAURATION ET DU TOURISME,87.3,LPO,public,0601863Z,105.1,60,2019-2020,60159,AMIENS,OISE,COMPIEGNE,110.1,30.3,34.4
LYCEE PROFESSIONNEL ANDRE MALRAUX LYCEE DES METIERS DU TERTIAIRE ET DES SERVICES A LA PERSONNE,78.2,LP,public,0601870G,78.2,60,2019-2020,60414,AMIENS,OISE,MONTATAIRE,,28.0,
LYCEE PROFESSIONNEL PRIVE SEVIGNE,102.9,LP,privé sous contrat,0601947R,102.9,60,2019-2020,60159,AMIENS,OISE,COMPIEGNE,,33.7,
LYCEE D ENSEIGNEMENT GENERAL PRIVE SAINT DOMINIQUE,,LEGT,privé sous contrat,0602070Z,134.4,60,2019-2020,60432,AMIENS,OISE,MORTEFONTAINE,134.4,,22.9
LYCEE POLYVALENT PRIVE ST FRANCOIS DE SALES,91.1,LPO,privé sous contrat,0610692W,113.3,61,2019-2020,61001,CAEN,ORNE,ALENCON,120.3,28.0,34.3
LYCEE GENERAL PRIVE JEANNE D ARC,,LEGT,privé sous contrat,0610694Y,108.9,61,2019-2020,61006,CAEN,ORNE,ARGENTAN,108.9,,30.9
LYCEE PROFESSIONNEL PHILIPPE AUGUSTE,77.4,LP,public,0620030W,77.4,62,2019-2020,62080,LILLE,PAS-DE-CALAIS,BAPAUME,,24.8,
LYCEE GENERAL ET TECHNOLOGIQUE LOUIS BLARINGHEM,,LEGT,public,0620040G,118.8,62,2019-2020,62119,LILLE,PAS-DE-CALAIS,BETHUNE,118.8,,34.2
LYCEE POLYVALENT EDOUARD BRANLY LYCEE DES METIERS DU BATIMENT ET DES ENERGIES RENOUVELABLES DE L INDUSTRIE DES TERRES D OPALE,82.7,LPO,public,0620052V,101.1,62,2019-2020,62160,LILLE,PAS-DE-CALAIS,BOULOGNE SUR MER,104.5,25.8,36.3
LYCEE PROFESSIONNEL LEO LAGRANGE LYCEE DES METIERS DE LA PERSONNE SANTE SOCIAL,70.8,LPO,public,0620059C,79.6,62,2019-2020,62186,LILLE,PAS-DE-CALAIS,BULLY LES MINES,90.6,22.8,33.4
LYCEE GENERAL ET TECHNOLOGIQUE SOPHIE BERTHELOT LYCEE DES METIERS DE L HOTELLERIE RESTAURATION,,LEGT,public,0620063G,102.7,62,2019-2020,62193,LILLE,PAS-DE-CALAIS,CALAIS,102.7,,35.8
LYCEE GENERAL ET TECHNOLOGIQUE ANATOLE FRANCE,,LEGT,public,0620120U,106.9,62,2019-2020,62516,LILLE,PAS-DE-CALAIS,LILLERS,106.9,,34.9
LYCEE PROFESSIONNEL FLORA TRISTAN,71.5,LP,public,0620121V,71.5,62,2019-2020,62516,LILLE,PAS-DE-CALAIS,LILLERS,,19.5,
LYCEE PROFESSIONNEL JOLIOT CURIE LYCEE DES METIERS DU COMMERCE,71.9,LP,public,0620150B,71.9,62,2019-2020,62637,LILLE,PAS-DE-CALAIS,OIGNIES,,25.9,
LYCEE PROFESSIONNEL PIERRE MENDES FRANCE,73.2,LP,public,0620167V,73.2,62,2019-2020,62767,LILLE,PAS-DE-CALAIS,SAINT POL SUR TERNOISE,,23.7,
LYCEE PROFESSIONNEL DU DETROIT LYCEE DES METIERS DE LA MODE ET DES TEXTILES LYCEE DES METIERS DE LA MAINTENANCE INDUSTRIELLE DES TERRES D OPALE,68.4,LP,public,0620188T,68.4,62,2019-2020,62193,LILLE,PAS-DE-CALAIS,CALAIS,,22.1,
LYCEE PROFESSIONNEL HENRI DARRAS LYCEE DES METIERS DE LA CHAUDRONNERIE INDUSTRIELLE,79.3,LP,public,0620190V,79.3,62,2019-2020,62510,LILLE,PAS-DE-CALAIS,LIEVIN,,28.5,
LYCEE PROFESSIONNEL ALAIN SAVARY JULES FERRY,78.5,LP,public,0620257T,78.5,62,2019-2020,62041,LILLE,PAS-DE-CALAIS,ARRAS,,25.8,
LYCEE GENERAL PRIVE SAINT VAAST SAINT DOMINIQUE,,LEGT,privé sous contrat,0622106C,128.3,62,2019-2020,62119,LILLE,PAS-DE-CALAIS,BETHUNE,128.3,,32.9
LYCEE POLYVALENT PRIVE BAUDIMONT LYCEE DES METIERS DU TERTIAIRE COMMERCIAL ET DU MANAGEMENT,107.3,LPO,privé sous contrat,0622196A,124.7,62,2019-2020,62041,LILLE,PAS-DE-CALAIS,ARRAS,130.4,34.6,33.1
LYCEE POLYVALENT PRIVE SAINT DENIS,100.8,LPO,privé sous contrat,0622199D,109.9,62,2019-2020,62765,LILLE,PAS-DE-CALAIS,SAINT OMER,112.2,34.1,29.6
LYCEE PROFESSIONNEL JEAN BERTIN LYCEE DES METIERS DES TRAVAUX PUBLICS,89.4,LP,public,0622801H,89.4,62,2019-2020,62178,LILLE,PAS-DE-CALAIS,BRUAY LA BUISSIERE,,29.2,
LYCEE GENERAL ET TECHNOLOGIQUE MARIETTE LYCEE DES METIERS DES ACTIVITES COMMERCIALES ET ADMINISTRATIVES,,LEGT,public,0622949U,100.3,62,2019-2020,62160,LILLE,PAS-DE-CALAIS,BOULOGNE SUR MER,100.3,,36.8
LYCEE PROFESSIONNEL DESAIX,85.6,LP,public,0630061Z,85.6,63,2019-2020,63338,CLERMONT-FERRAND,PUY-DE-DOME,SAINT ELOY LES MINES,,29.3,
LYCEE PROFESSIONNEL PRIVE RENE RAMBAUD COIFFURE,84.4,LP,privé sous contrat,0631048X,84.4,63,2019-2020,63113,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT FERRAND,,24.8,
LYCEE PROFESSIONNEL PRIVE ANNA RODIER LYCEE DES METIERS DE L INDUSTRIE ET DES SERVICES AUX ENTREPRISES,92.9,LP,privé sous contrat,0631050Z,92.9,63,2019-2020,63113,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT FERRAND,,31.9,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE THECLE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL,,LEGT,privé sous contrat,0631070W,111.3,63,2019-2020,63075,CLERMONT-FERRAND,PUY-DE-DOME,CHAMALIERES,111.3,,36.2
LYCEE POLYVALENT LYCEE DES METIERS DE L HOTELLERIE DE LA RESTAURATION ET DU TOURISME,97.0,LPO,public,0631669X,116.9,63,2019-2020,63075,CLERMONT-FERRAND,PUY-DE-DOME,CHAMALIERES,125.2,34.1,34.2
LYCEE POLYVALENT PIERRE JOEL BONTE LYCEE DES METIERS DES SCIENCES ET TECHNIQUES DE L HABITAT ET DES TRAVAUX PUBLICS,94.6,LPO,public,0631985R,107.7,63,2019-2020,63300,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,126.5,32.6,31.8
LYCEE GENERAL RENE CASSIN,,LEGT,public,0640010N,124.7,64,2019-2020,64102,BORDEAUX,PYRENEES-ATLANTIQUES,BAYONNE,124.7,,33.6
LYCEE PROFESSIONNEL LYCEE DES METIERS DE L HABITAT ET DE L INDUSTRIE,82.0,LP,public,0640026F,82.0,64,2019-2020,64237,BORDEAUX,PYRENEES-ATLANTIQUES,GELOS,,23.4,
LYCEE PROFESSIONNEL EXPERIMENTAL ANDRE CAMPA,80.7,LP,public,0640031L,80.7,64,2019-2020,64284,BORDEAUX,PYRENEES-ATLANTIQUES,JURANCON,,26.7,
LYCEE GENERAL JULES SUPERVIELLE,,LEGT,public,0640047D,115.1,64,2019-2020,64422,BORDEAUX,PYRENEES-ATLANTIQUES,OLORON SAINTE MARIE,115.1,,33.2
LYCEE PROFESSIONNEL FRANCIS JAMMES LYCEE DES METIERS D ORTHEZ AU SERVICE DES ENTREPRISES ET DES PERSONNES,86.7,LP,public,0640053K,86.7,64,2019-2020,64430,BORDEAUX,PYRENEES-ATLANTIQUES,ORTHEZ,,24.6,
LYCEE PROFESSIONNEL GABRIEL HAURE PLACE LYCEE DES METIERS AMEUBLEMENT ET DECORATION,100.2,LP,public,0640098J,100.2,64,2019-2020,64191,BORDEAUX,PYRENEES-ATLANTIQUES,COARRAZE,,34.2,
LYCEE GENERAL PRIVE SAINT JOSEPH,,LEGT,privé sous contrat,0640126P,109.4,64,2019-2020,64422,BORDEAUX,PYRENEES-ATLANTIQUES,OLORON SAINTE MARIE,109.4,,38.2
LYCEE GENERAL PRIVE JEANNE D ARC,,LEGT,privé sous contrat,0640127R,110.3,64,2019-2020,64430,BORDEAUX,PYRENEES-ATLANTIQUES,ORTHEZ,110.3,,37.1
LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIERS DES SCIENCES ET TECHNIQUES INDUSTRIELLES,101.4,LPO,privé sous contrat,0640181Z,105.1,64,2019-2020,64256,BORDEAUX,PYRENEES-ATLANTIQUES,HASPARREN,109.8,31.8,33.9
LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL,84.9,LP,privé sous contrat,0640189H,84.9,64,2019-2020,64445,BORDEAUX,PYRENEES-ATLANTIQUES,PAU,,30.1,
LYCEE PROFESSIONNEL PRIVE SAINTE ANNE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL,97.9,LP,privé sous contrat,0641663K,97.9,64,2019-2020,64024,BORDEAUX,PYRENEES-ATLANTIQUES,ANGLET,,29.7,
LYCEE GENERAL ET TECHNOLOGIQUE SAINT JOHN PERSE,,LEGT,public,0641732K,115.0,64,2019-2020,64445,BORDEAUX,PYRENEES-ATLANTIQUES,PAU,115.0,,35.8
LYCEE GENERAL ET TECHNOLOGIQUE DU PAYS DE SOULE LYCEE DES METIERS,,LEGT,public,0641779L,113.9,64,2019-2020,64188,BORDEAUX,PYRENEES-ATLANTIQUES,CHERAUTE,113.9,,30.7
LYCEE POLYVALENT DE NAVARRE,99.0,LPO,public,0641844G,112.1,64,2019-2020,64485,BORDEAUX,PYRENEES-ATLANTIQUES,SAINT JEAN PIED DE PORT,116.2,28.8,29.9
LYCEE GENERAL ET TECHNOLOGIQUE JEAN DUPUY,,LEGT,public,0650027B,118.9,65,2019-2020,65440,TOULOUSE,HAUTES-PYRENEES,TARBES,118.9,,33.5
LYCEE PROFESSIONNEL SIXTE VIGNON LYCEE DES METIERS DE L HABITAT DES ENERGIES ET DE L AUTOMOBILE,87.3,LP,public,0650028C,87.3,65,2019-2020,65047,TOULOUSE,HAUTES-PYRENEES,AUREILHAN,,29.9,
LYCEE PROFESSIONNEL REFFYE,83.1,LP,public,0650029D,83.1,65,2019-2020,65440,TOULOUSE,HAUTES-PYRENEES,TARBES,,26.5,
LYCEE GENERAL PRIVE PEYRAMALE SAINT JOSEPH,,LEGT,privé sous contrat,0650058K,103.9,65,2019-2020,65286,TOULOUSE,HAUTES-PYRENEES,LOURDES,103.9,,31.5
LYCEE PROFESSIONNEL PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE L INFORMATIQUE ET RESEAUX,92.8,LP,privé sous contrat,0650886K,92.8,65,2019-2020,65440,TOULOUSE,HAUTES-PYRENEES,TARBES,,29.6,
LYCEE POLYVALENT CHARLES RENOUVIER,86.4,LPO,public,0660021P,100.7,66,2019-2020,66149,MONTPELLIER,PYRENEES-ORIENTALES,PRADES,110.7,29.7,35.1
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE BON SECOURS,,LEGT,privé sous contrat,0660059F,122.1,66,2019-2020,66136,MONTPELLIER,PYRENEES-ORIENTALES,PERPIGNAN,122.1,,34.4
LYCEE POLYVALENT CHRISTIAN BOURQUIN,84.6,LPO,public,0660924W,99.6,66,2019-2020,66008,MONTPELLIER,PYRENEES-ORIENTALES,ARGELES SUR MER,107.8,29.6,34.9
LYCEE PROFESSIONNEL CAMILLE SCHNEIDER,86.3,LP,public,0670043H,86.3,67,2019-2020,67300,STRASBOURG,BAS-RHIN,MOLSHEIM,,30.0,
LYCEE GENERAL SECTIONS INTERNATIONALES,,LEGT,public,0670081Z,129.8,67,2019-2020,67482,STRASBOURG,BAS-RHIN,STRASBOURG,129.8,,41.3
LYCEE POLYVALENT HEINRICH NESSEL LYCEE DES METIERS,86.3,LPO,public,0671509B,104.5,67,2019-2020,67180,STRASBOURG,BAS-RHIN,HAGUENAU,115.3,30.0,34.9
COLLEGE EPISCOPAL SAINT ETIENNE (LYCEE GENERAL PRIVE),,LEGT,privé sous contrat,0671609K,134.4,67,2019-2020,67482,STRASBOURG,BAS-RHIN,STRASBOURG,134.4,,32.0
LYCEE GENERAL PRIVE INSTITUTION LA DOCTRINE CHRETIENNE,,LEGT,privé sous contrat,0671611M,120.4,67,2019-2020,67482,STRASBOURG,BAS-RHIN,STRASBOURG,120.4,,35.7
ECOLE AQUIBA (LYCEE GENERAL PRIVE),,LEGT,privé sous contrat,0671615S,137.0,67,2019-2020,67482,STRASBOURG,BAS-RHIN,STRASBOURG,137.0,,29.9
LYCEE GENERAL PRIVE SEMINAIRE DE JEUNES,,LEGT,privé sous contrat,0671618V,123.1,67,2019-2020,67511,STRASBOURG,BAS-RHIN,WALBOURG,123.1,,33.9
LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PRIVE ORT,,LEGT,privé sous contrat,0671636P,114.4,67,2019-2020,67482,STRASBOURG,BAS-RHIN,STRASBOURG,114.4,,34.3
LYCEE POLYVALENT JEAN BAPTISTE SCHWILGUE,88.7,LPO,public,0671832C,105.0,67,2019-2020,67462,STRASBOURG,BAS-RHIN,SELESTAT,111.3,29.9,33.7
LYCEE GENERAL ET TECHNOLOGIQUE MARC BLOCH,,LEGT,public,0672604S,103.1,67,2019-2020,67043,STRASBOURG,BAS-RHIN,BISCHHEIM,103.1,,39.2
LYCEE POLYVALENT MARGUERITE YOURCENAR,87.0,LPO,public,0672677W,117.8,67,2019-2020,67130,STRASBOURG,BAS-RHIN,ERSTEIN,121.2,28.7,33.7
LYCEE POLYVALENT JEAN JACQUES HENNER,87.6,LPO,public,0680001G,107.3,68,2019-2020,68004,STRASBOURG,HAUT-RHIN,ALTKIRCH,114.0,28.7,32.9
LYCEE POLYVALENT BLAISE PASCAL,81.9,LPO,public,0680010S,98.3,68,2019-2020,68066,STRASBOURG,HAUT-RHIN,COLMAR,106.8,27.9,35.1
LYCEE GENERAL ET TECHNOLOGIQUE ALBERT SCHWEITZER,,LEGT,public,0680031P,100.3,68,2019-2020,68224,STRASBOURG,HAUT-RHIN,MULHOUSE,100.3,,37.6
LYCEE PROFESSIONNEL CHARLES STOESSEL LYCEE DES METIERS,71.9,LP,public,0680037W,71.9,68,2019-2020,68224,STRASBOURG,HAUT-RHIN,MULHOUSE,,24.3,
LYCEE PROFESSIONNEL DU REBBERG LYCEE DES METIERS,78.3,LP,public,0680041A,78.3,68,2019-2020,68224,STRASBOURG,HAUT-RHIN,MULHOUSE,,26.9,
LYCEE GENERAL ET TECHNOLOGIQUE RIBEAUPIERRE,,LEGT,public,0680060W,121.2,68,2019-2020,68269,STRASBOURG,HAUT-RHIN,RIBEAUVILLE,121.2,,33.7
LYCEE PROFESSIONNEL CHARLES POINTET LYCEE DES METIERS,81.4,LP,public,0680074L,81.4,68,2019-2020,68334,STRASBOURG,HAUT-RHIN,THANN,,26.9,
LYCEE POLYVALENT LAVOISIER,84.0,LPO,public,0681768C,89.7,68,2019-2020,68224,STRASBOURG,HAUT-RHIN,MULHOUSE,90.2,29.7,33.9
LYCEE POLYVALENT LAZARE DE SCHWENDI LYCEE DES METIERS,78.3,LPO,public,0681817F,84.2,68,2019-2020,68155,STRASBOURG,HAUT-RHIN,INGERSHEIM,99.3,24.8,31.1
LYCEE TECHNOLOGIQUE PRIVE INSTITUT SONNENBERG,,LEGT,privé sous contrat,0681885E,105.7,68,2019-2020,68062,STRASBOURG,HAUT-RHIN,CARSPACH,105.7,,29.8
LYCEE POLYVALENT AMELIE ZURCHER,74.7,LPO,public,0681888H,90.9,68,2019-2020,68375,STRASBOURG,HAUT-RHIN,WITTELSHEIM,100.0,22.4,34.3
LYCEE PROFESSIONNEL DANIELLE CASANOVA LYCEE DES METIERS DU CUIR ET DES SERVICES,79.0,LP,public,0690018V,79.0,69,2019-2020,69091,LYON,RHONE,GIVORS,,26.4,
LYCEE GENERAL ET TECHNOLOGIQUE AMPERE,,LEGT,public,0690023A,113.6,69,2019-2020,69382,LYON,RHONE,LYON 2E ARRONDISSEMENT,113.6,,40.7
LYCEE GENERAL ET TECHNOLOGIQUE SAINT JUST,,LEGT,public,0690028F,131.5,69,2019-2020,69385,LYON,RHONE,LYON 5E ARRONDISSEMENT,131.5,,35.4
LYCEE GENERAL ET TECHNOLOGIQUE LA MARTINIERE DIDEROT,,LEGT,public,0690037R,120.9,69,2019-2020,69381,LYON,RHONE,LYON 1ER ARRONDISSEMENT,120.9,,38.6
LYCEE POLYVALENT HECTOR GUIMARD LYCEE DES METIERS DE LA FONDERIE DE LA PLASTURGIE ET DES OUTILLAGES ASSOCIES DE LA PROTHESE DENTAIRE,84.5,LP,public,0690040U,84.5,69,2019-2020,69387,LYON,RHONE,LYON 7E ARRONDISSEMENT,,30.6,
LYCEE PROFESSIONNEL JACQUES DE FLESSELLES LYCEE DES METIERS DU GENIE ELECTRIQUE ET DE LA BUREAUTIQUE,81.1,LP,public,0690043X,81.1,69,2019-2020,69381,LYON,RHONE,LYON 1ER ARRONDISSEMENT,,27.6,
LYCEE GENERAL ET TECHNOLOGIQUE PARC CHABRIERES,,LEGT,public,0690074F,107.6,69,2019-2020,69149,LYON,RHONE,OULLINS,107.6,,38.9
LYCEE PROFESSIONNEL DU 1ER FILM LYCEE DES METIERS DE LA BEAUTE LA COMMUNICATION ET LA RESTAURATION,93.2,LP,public,0690092A,93.2,69,2019-2020,69388,LYON,RHONE,LYON 8E ARRONDISSEMENT,,34.1,
LYCEE GENERAL ET TECHNOLOGIQUE MARCEL SEMBAT,,LEGT,public,0690104N,94.7,69,2019-2020,69259,LYON,RHONE,VENISSIEUX,94.7,,34.1
LYCEE PROFESSIONNEL EMILE BEJUIT AUTOMOBILE LYCEE DES METIERS DE L AUTOMOBILE ET DU TRANSPORT,80.4,LP,public,0690105P,80.4,69,2019-2020,69029,LYON,RHONE,BRON,,26.9,
LYCEE PROFESSIONNEL MARIE CURIE LYCEE DES METIERS DU COMMERCE ET DU SERVICE A LA PERSONNE,79.8,LP,public,0690109U,79.8,69,2019-2020,69266,LYON,RHONE,VILLEURBANNE,,27.3,
LYCEE GENERAL ET TECHNOLOGIQUE PIERRE BROSSOLETTE,,LEGT,public,0690132U,98.7,69,2019-2020,69266,LYON,RHONE,VILLEURBANNE,98.7,,38.0
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DES MINIMES,,LEGT,privé sous contrat,0690519P,131.6,69,2019-2020,69385,LYON,RHONE,LYON 5E ARRONDISSEMENT,131.6,,34.1
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA FAVORITE SAINTE THERESE,,LEGT,privé sous contrat,0690520R,139.4,69,2019-2020,69385,LYON,RHONE,LYON 5E ARRONDISSEMENT,139.4,,26.9
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE AUX LAZARISTES,,LEGT,privé sous contrat,0690522T,148.4,69,2019-2020,69385,LYON,RHONE,LYON 5E ARRONDISSEMENT,148.4,,24.5
LYCEE GENERAL PRIVE SAINT MARC,,LEGT,privé sous contrat,0690571W,134.9,69,2019-2020,69382,LYON,RHONE,LYON 2E ARRONDISSEMENT,134.9,,34.4
LYCEE PROFESSIONNEL PRIVE ATELIERS D APPRENTISSAGE DE L INDUSTRIE,99.1,LP,privé sous contrat,0690652J,99.1,69,2019-2020,69256,LYON,RHONE,VAULX EN VELIN,,30.0,
LYCEE PROFESSIONNEL PRIVE LA FAVORITE SAINTE THERESE,114.3,LP,privé sous contrat,0690697H,114.3,69,2019-2020,69202,LYON,RHONE,SAINTE FOY LES LYON,,32.6,
LYCEE PROFESSIONNEL PRIVE SAINT LOUIS SAINT BRUNO LYCEE DES METIERS DU TERTIAIRE ADMINISTRATIF ET COMMERCIAL,98.6,LP,privé sous contrat,0690712Z,98.6,69,2019-2020,69381,LYON,RHONE,LYON 1ER ARRONDISSEMENT,,34.9,
LYCEE PROFESSIONNEL GEORGES LAMARQUE LYCEE DES METIERS DES ARTS ET TECHNIQUES DU BOIS ET DE LA TAPISSERIE D AMEUBLEMENT,97.0,LP,public,0691626T,97.0,69,2019-2020,69286,LYON,RHONE,RILLIEUX LA PAPE,,34.4,
LYCEE POLYVALENT JACQUES BREL,75.8,LPO,public,0692717D,79.3,69,2019-2020,69259,LYON,RHONE,VENISSIEUX,80.8,26.7,29.6
LYCEE POLYVALENT CHARLIE CHAPLIN,88.6,LPO,public,0692800U,108.4,69,2019-2020,69275,LYON,RHONE,DECINES CHARPIEU,110.5,29.6,35.7
LYCEE PROFESSIONNEL ANDRE CUZIN LYCEE DES METIERS DE LA CONSTRUCTION ET DE L HABITAT DURABLES,82.9,LP,public,0692968B,82.9,69,2019-2020,69034,LYON,RHONE,CALUIRE ET CUIRE,,28.9,
LYCEE PROFESSIONNEL FRANCOIS CEVERT,75.4,LP,public,0693095P,75.4,69,2019-2020,69081,LYON,RHONE,ECULLY,,26.1,
LYCEE PROFESSIONNEL PRIVE CHEVREUL LESTONNAC,95.8,LP,privé sous contrat,0693372R,95.8,69,2019-2020,69387,LYON,RHONE,LYON 7E ARRONDISSEMENT,,37.1,
LYCEE PROFESSIONNEL PRIVE CARREL LYCEE DES METIERS DES RELATIONS COMMERCIALES,110.4,LP,privé sous contrat,0693373S,110.4,69,2019-2020,69386,LYON,RHONE,LYON 6E ARRONDISSEMENT,,32.6,
LYCEE GENERAL ET TECHNOLOGIQUE BLAISE PASCAL,,LEGT,public,0693518Z,133.6,69,2019-2020,69044,LYON,RHONE,CHARBONNIERES LES BAINS,133.6,,32.9
LYCEE POLYVALENT AIGUERANDE,87.3,LPO,public,0693734J,110.9,69,2019-2020,69019,LYON,RHONE,BELLEVILLE EN BEAUJOLAIS,115.9,30.0,33.7
LYCEE POLYVALENT GEORGES COLOMB,82.3,LPO,public,0700018P,105.0,70,2019-2020,70310,BESANCON,HAUTE-SAONE,LURE,109.0,25.7,35.7
LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE,86.8,LPO,public,0701035V,114.6,70,2019-2020,70285,BESANCON,HAUTE-SAONE,HERICOURT,119.2,30.7,35.2
LYCEE GENERAL ET TECHNOLOGIQUE LES HABERGES,,LEGT,public,0701052N,109.2,70,2019-2020,70550,BESANCON,HAUTE-SAONE,VESOUL,109.2,,33.7
LYCEE POLYVALENT MATHIAS,82.4,LPO,public,0710010A,97.9,71,2019-2020,71076,DIJON,SAONE-ET-LOIRE,CHALON SUR SAONE,100.5,26.7,33.2
LYCEE POLYVALENT RENE CASSIN LYCEE DES METIERS,88.7,LPO,public,0710048S,103.4,71,2019-2020,71270,DIJON,SAONE-ET-LOIRE,MACON,111.6,28.8,35.8
LYCEE GENERAL ET TECHNOLOGIQUE CAMILLE CLAUDEL,,LEGT,public,0711137A,102.8,71,2019-2020,71176,DIJON,SAONE-ET-LOIRE,DIGOIN,102.8,,32.4
LYCEE PROFESSIONNEL CAMILLE DU GAST LYCEE DES METIERS DE LA MAINTENANCE DES VEHICULES DU TRANSPORT ET DE LA LOGISTIQUE,86.5,LP,public,0711322B,86.5,71,2019-2020,71076,DIJON,SAONE-ET-LOIRE,CHALON SUR SAONE,,29.4,
LYCEE POLYVALENT HILAIRE DE CHARDONNET,78.7,LPO,public,0711422K,105.7,71,2019-2020,71076,DIJON,SAONE-ET-LOIRE,CHALON SUR SAONE,106.2,30.7,34.3
LYCEE POLYVALENT ROBERT GARNIER,82.5,LPO,public,0720017C,98.0,72,2019-2020,72132,NANTES,SARTHE,LA FERTE BERNARD,103.7,24.7,34.0
LYCEE GENERAL PRIVE SAINT PAUL NOTRE DAME,,LEGT,privé sous contrat,0721549T,116.7,72,2019-2020,72132,NANTES,SARTHE,LA FERTE BERNARD,116.7,,32.3
LYCEE POLYVALENT MARLIOZ,88.9,LPO,public,0730003G,115.6,73,2019-2020,73008,GRENOBLE,SAVOIE,AIX LES BAINS,121.0,30.2,34.0
LYCEE POLYVALENT MONGE LYCEE DES METIERS DE LA CREATION INDUSTRIELLE,100.4,LPO,public,0730016W,114.1,73,2019-2020,73065,GRENOBLE,SAVOIE,CHAMBERY,117.7,30.2,34.8
LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE,93.3,LPO,public,0730029K,114.4,73,2019-2020,73181,GRENOBLE,SAVOIE,MOUTIERS,122.1,30.0,34.9
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEANNE D ARC,,LEGT,privé sous contrat,0730760E,103.3,73,2019-2020,73011,GRENOBLE,SAVOIE,ALBERTVILLE,103.3,,36.1
